Gene,_SCORE_GRP4_,_SCORE_GRP3_,_SCORE_GRP1_,_SCORE_GRP2_,_SCORE_GRP5_,GRP1|19_GO:0019752|-1.990|carboxylic acid metabolic process,GRP1|19_GO:0006520|-2.512|amino acid metabolic process,GRP1|19_GO:1901615|-3.098|organic hydroxy compound metabolic process,GRP1|27_WP2279|-1.657|Seed development,GRP2|19_GO:0019637|-1.986|organophosphate metabolic process,GRP2|19_GO:0072524|-3.027|pyridine-containing compound metabolic process,GRP2|19_GO:0072521|-2.127|purine-containing compound metabolic process,GRP2|19_GO:0006163|-2.236|purine nucleotide metabolic process,GRP2|19_GO:0009117|-2.013|nucleotide metabolic process,GRP2|19_GO:0006753|-1.995|nucleoside phosphate metabolic process,GRP2|19_GO:0055086|-1.657|nucleobase-containing small molecule metabolic process,GRP3|21_GO:0016757|-2.512|glycosyltransferase activity,GRP4|20_GO:0140513|-2.158|nuclear protein-containing complex,GRP5|20_GO:0098796|-1.502|membrane protein complex,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_
816245,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,2
814663,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0.2,0.1,0.1,0.1,0,0,0.1,0.0,0,3,0,2,2,0,0
836071,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0,5,0,0,1,0,0
818986,0.0,1.0,1.0,0.0,0.0,0,0.1,0.2,0,0,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0,2,2,0,3,0,0
816244,0.0,0.0,0.25,0.8571428571428571,0.0,0,0.0,0.2,0,0,0.0,0.1,0.1,0.1,0,0,0.0,0.0,0,14,4,3,0,0,0
821817,0.0,0.0,0.5,0.0,0.0,0,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,16,5,0,0,0,0
829597,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6,0,0,0,0,1
820196,0.0,0.0,0.25,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,17,7,0,0,0,0
831597,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0,11,0,0,0,2,0
831738,0.0,0.0,0.5,0.2857142857142857,0.0,0,0.1,0.2,0,0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,15,3,4,0,0,0
824766,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0,4,0,0,4,0,0
839081,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0,10,0,0,0,1,0
831039,0.0,0.0,0.25,1.0,0.0,0,0.0,0.0,0,0,0.2,0.1,0.1,0.1,0,0,0.0,0.0,0,13,6,1,0,0,0
831041,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,8,0,0,0,0,3
838899,1.0,0.0,0.25,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0,9,8,0,0,3,0
819756,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0,12,0,0,0,4,0
818988,0.0,1.0,1.0,0.0,0.0,0,0.1,0.2,0,0,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0,1,1,0,5,0,0
